symbol,atomic_number,pettifor,mod_pettifor,ElMD_pettifor,ElMD_mod_pettifor
H,1,78,103,103,103
D,1,78,103,103,103
T,1,78,103,103,103
He,2,0,1,1,1
Li,3,5,12,12,12
Be,4,54,77,77,77
B,5,63,86,86,86
C,6,71,87,95,87
N,7,75,88,100,88
O,8,76,97,101,97
F,9,77,102,102,102
Ne,10,0,2,2,2
Na,11,4,11,11,11
Mg,12,50,73,73,73
Al,13,57,78,80,78
Si,14,62,85,85,85
P,15,67,89,90,89
S,16,70,96,94,96
Cl,17,74,101,99,101
Ar,18,0,3,3,3
K,19,3,10,10,10
Ca,20,8,16,16,16
Sc,21,12,48,20,48
Ti,22,28,51,51,51
V,23,31,54,54,54
Cr,24,34,55,57,55
Mn,25,37,72,60,72
Fe,26,38,71,61,71
Co,27,41,70,64,70
Ni,28,44,69,67,69
Cu,29,49,68,72,68
Zn,30,53,74,76,74
Ga,31,58,79,81,79
Ge,32,61,84,84,84
As,33,66,90,89,90
Se,34,69,95,93,95
Br,35,73,100,98,100
Kr,36,0,4,4,4
Rb,37,2,9,9,9
Sr,38,7,15,15,15
Y,39,11,21,19,21
Zr,40,26,49,49,49
Nb,41,29,53,52,53
Mo,42,32,56,55,56
Tc,43,35,59,58,59
Ru,44,40,61,63,61
Rh,45,43,63,66,63
Pd,46,46,65,69,65
Ag,47,48,67,71,67
Cd,48,52,75,75,75
In,49,56,80,79,80
Sn,50,60,83,83,83
Sb,51,65,91,88,91
Te,52,68,94,92,94
I,53,72,99,97,99
Xe,54,0,5,5,5
Cs,55,1,8,8,8
Ba,56,6,14,14,14
La,57,25,32,33,32
Ce,58,24,31,32,31
Pr,59,23,30,31,30
Nd,60,22,29,30,29
Pm,61,21,28,29,28
Sm,62,20,27,28,27
Eu,63,10,17,18,17
Gd,64,19,26,27,26
Tb,65,18,25,26,25
Dy,66,17,24,25,24
Ho,67,16,23,24,23
Er,68,15,22,23,22
Tm,69,14,20,22,20
Yb,70,9,18,17,18
Lu,71,13,19,21,19
Hf,72,27,50,50,50
Ta,73,30,52,53,52
W,74,33,57,56,57
Re,75,36,58,59,58
Os,76,39,60,62,60
Ir,77,42,62,65,62
Pt,78,45,64,68,64
Au,79,47,66,70,66
Hg,80,51,76,74,76
Tl,81,55,81,78,81
Pb,82,59,82,82,82
Bi,83,64,92,87,92
Po,84,0,93,91,93
At,85,0,98,96,98
Rn,86,0,6,6,6
Fr,87,0,7,7,7
Ra,88,0,13,13,13
Ac,89,0,33,48,33
Th,90,0,34,47,34
Pa,91,0,35,46,35
U,92,0,36,45,36
Np,93,0,37,44,37
Pu,94,0,38,43,38
Am,95,0,39,42,39
Cm,96,0,40,41,40
Bk,97,0,41,40,41
Cf,98,0,42,39,42
Es,99,0,43,38,43
Fm,100,0,44,37,44
Md,101,0,45,36,45
No,102,0,46,35,46
Lr,103,0,47,34,47
Rf,104,0,0,0,0
Db,105,0,0,0,0
Sg,106,0,0,0,0
Bh,107,0,0,0,0
Hs,108,0,0,0,0
Mt,109,0,0,0,0
Ds,110,0,0,0,0
Rg,111,0,0,0,0
Cn,112,0,0,0,0
Nh,113,0,0,0,0
Fl,114,0,0,0,0
Mc,115,0,0,0,0
Lv,116,0,0,0,0
Ts,117,0,0,0,0
Og,118,0,0,0,0
Uue,119,0,0,0,0
